"index","centro_cod","cliente_cod","plan_mes","programa_tvt","pedido_prv_sol"
"224","D155","7200023346",202001,"T",485.2
"225","D155","7200023346",202002,"C",393.02
"226","D155","7200023346",202002,"T",113.99
"227","D155","7200023346",202003,"C",385.63
"228","D155","7200023346",202003,"T",317.06
"229","D155","7200023348",202001,"C",1346.54
"230","D155","7200023348",202001,"T",671.22
"231","D155","7200023348",202002,"C",791.34
"232","D155","7200023348",202002,"T",703.23
"233","D155","7200023348",202003,"C",1401.41
"234","D155","7200023348",202003,"T",970.58
"235","D155","7200023355",202001,"C",48.33
"236","D155","7200023355",202001,"T",180.34
"237","D155","7200023355",202002,"T",226.39
"238","D155","7200023355",202003,"T",302.29
"239","D155","7200023359",202001,"C",129.2
"240","D155","7200023359",202001,"T",333.81
"241","D155","7200023359",202002,"C",108.42
"242","D155","7200023359",202002,"T",333.37
"243","D155","7200023359",202003,"C",961
"244","D155","7200023359",202003,"T",416.65
"245","D155","7200023365",202001,"C",175.54
"246","D155","7200023365",202001,"T",332.5
"247","D155","7200023367",202001,"C",113.13
"248","D155","7200023367",202001,"T",55.81
"249","D155","7200023367",202002,"C",70.84
"250","D155","7200023367",202002,"T",154.43
"251","D155","7200023367",202003,"T",238.96
"252","D155","7200023368",202001,"C",231.11
"253","D155","7200023368",202001,"T",506.41
"254","D155","7200023368",202002,"C",76.96
"255","D155","7200023368",202002,"T",662.78
"256","D155","7200023368",202003,"T",553.06
"257","D155","7200023370",202001,"C",175.61
"258","D155","7200023370",202002,"C",42.79
"259","D155","7200023370",202002,"T",253.46
"260","D155","7200023370",202003,"C",50.37
"261","D155","7200023370",202003,"T",210.82
"262","D155","7200023373",202001,"C",311.29
"263","D155","7200023373",202001,"T",296.12
"264","D155","7200023373",202002,"C",122.19
"265","D155","7200023373",202002,"T",454.36
"266","D155","7200023373",202003,"C",335.96
"267","D155","7200023373",202003,"T",429.55
"268","D155","7200023374",202001,"T",114.51
"269","D155","7200023374",202003,"C",43.54
"270","D155","7200023377",202001,"T",333.08
"271","D155","7200023377",202002,"T",346.16
"272","D155","7200023377",202003,"C",89.5
"273","D155","7200023377",202003,"T",494.34
"274","D155","7200023379",202001,"T",262.69
"275","D155","7200023379",202002,"T",287.47
"276","D155","7200023379",202003,"T",317.45
"277","D155","7200023380",202001,"C",30.82
"278","D155","7200023382",202001,"C",147.54
"279","D155","7200023382",202002,"T",113.65
"280","D155","7200023382",202003,"C",374.16
"281","D155","7200023384",202001,"C",147.11
"282","D155","7200023384",202001,"T",200.53
"283","D155","7200023384",202002,"C",89.67
"284","D155","7200023384",202003,"C",467.11
"285","D155","7200023384",202003,"T",84.86
"286","D155","7200023386",202001,"T",209.25
"287","D155","7200023386",202002,"C",69.35
"288","D155","7200023386",202002,"T",97.79
"289","D155","7200023386",202003,"C",138.72
"290","D155","7200023388",202001,"T",565.18
"291","D155","7200023388",202002,"T",206.73
"292","D155","7200023388",202003,"T",256.5
"293","D155","7200023389",202001,"C",56.24
"294","D155","7200023389",202001,"T",108.49
"295","D155","7200023389",202002,"C",71.11
"296","D155","7200023389",202002,"T",510.5
"297","D155","7200023389",202003,"T",40.31
"298","D155","7200023391",202001,"T",97.2
"299","D155","7200023391",202002,"T",52.19
"300","D155","7200023391",202003,"C",43.92
"301","D155","7200023391",202003,"T",80.63
"302","D155","7200023392",202001,"C",210.7
"303","D155","7200023392",202001,"T",424.74
"304","D155","7200023392",202002,"T",154.27
"305","D155","7200023392",202003,"C",260.42
"306","D155","7200023392",202003,"T",397.01
"307","D155","7200023397",202001,"T",236.9
"308","D155","7200023397",202002,"T",134.8
"309","D155","7200023397",202003,"C",317.13
"310","D155","7200023399",202001,"C",324.71
"311","D155","7200023399",202001,"T",60.81
"312","D155","7200023399",202002,"T",214.41
"313","D155","7200023402",202001,"C",98.68
"314","D155","7200023402",202001,"T",98.06
"315","D155","7200023402",202002,"T",125.79
"316","D155","7200023402",202003,"C",431.19
"317","D155","7200023402",202003,"T",40.34
"318","D155","7200023405",202002,"T",41.78
"319","D155","7200023406",202001,"C",157.87
"320","D155","7200023406",202001,"T",212.6
"321","D155","7200023406",202002,"C",100.51
"322","D155","7200023406",202002,"T",86.5
"323","D155","7200023406",202003,"T",325.59
"324","D155","7200023407",202001,"C",68.07
"325","D155","7200023407",202002,"C",86.61
"326","D155","7200023407",202002,"T",87.14
"327","D155","7200023407",202003,"C",137.07
"328","D155","7200023407",202003,"T",62.73
"329","D155","7200023409",202001,"C",203.49
"330","D155","7200023409",202001,"T",197.52
"331","D155","7200023409",202002,"T",420.81
"332","D155","7200023409",202003,"C",320.6
"333","D155","7200023409",202003,"T",223.44
"334","D155","7200023412",202001,"T",863.71
"335","D155","7200023412",202002,"T",827.45
"336","D155","7200023412",202003,"C",185.26
"337","D155","7200023412",202003,"T",975.56
"338","D155","7200023416",202001,"C",43.5
"339","D155","7200023416",202002,"C",97.57
"340","D155","7200023416",202003,"T",129.41
"341","D155","7200023418",202001,"T",326.71
"342","D155","7200023418",202002,"T",175.11
"343","D155","7200023418",202003,"T",289.94
"344","D155","7200023419",202002,"T",47.75
"345","D155","7200023419",202003,"T",40.81
"346","D155","7200023420",202001,"T",120.84
"347","D155","7200023420",202003,"C",43.78
"348","D155","7200023420",202003,"T",300.18
"349","D155","7200023424",202001,"T",218.51
"350","D155","7200023424",202002,"T",202.9
"351","D155","7200023424",202003,"T",391.43
"352","D155","7200023425",202001,"C",58.03
"353","D155","7200023425",202002,"T",157.3
"354","D155","7200023425",202003,"T",341.11
"355","D155","7200023432",202001,"T",53.71
"356","D155","7200023432",202003,"C",108.44
"357","D155","7200023435",202001,"C",72.56
"358","D155","7200023435",202001,"T",119.23
"359","D155","7200023435",202002,"C",97.07
"360","D155","7200023435",202002,"T",171.53
"361","D155","7200023435",202003,"C",165.35
"362","D155","7200023435",202003,"T",95.51
"363","D155","7200023437",202001,"C",282.07
"364","D155","7200023437",202001,"T",308.27
"365","D155","7200023437",202002,"C",247.33
"366","D155","7200023437",202002,"T",323.69
"367","D155","7200023437",202003,"C",200.59
"368","D155","7200023437",202003,"T",665.83
"369","D155","7200023441",202001,"C",131.44
"370","D155","7200023441",202001,"T",740.51
"371","D155","7200023441",202002,"C",69.07
"372","D155","7200023441",202002,"T",300.34
"373","D155","7200023441",202003,"C",469.03
"374","D155","7200023441",202003,"T",747.26
"375","D155","7200023444",202002,"T",152.96
"376","D155","7200023444",202003,"T",60.76
"377","D155","7200023446",202001,"T",488.75
"378","D155","7200023446",202002,"T",329.24
"379","D155","7200023446",202003,"T",252.37
"380","D155","7200023447",202001,"C",266.51
"381","D155","7200023447",202002,"C",120.08
"382","D155","7200023447",202003,"C",574.16
"383","D155","7200023448",202001,"C",641.43
"384","D155","7200023448",202001,"T",217.32
"385","D155","7200023448",202002,"C",507.73
"386","D155","7200023448",202002,"T",502
"387","D155","7200023448",202003,"C",123.71
"388","D155","7200023448",202003,"T",1207.03
"389","D155","7200023449",202001,"C",56.33
"390","D155","7200023449",202002,"T",59.82
"391","D155","7200023449",202003,"T",63.38
"392","D155","7200023450",202001,"T",128.41
"393","D155","7200023450",202002,"C",66.95
"394","D155","7200023450",202002,"T",126.23
"395","D155","7200023450",202003,"C",119.66
"396","D155","7200023450",202003,"T",219.49
"397","D155","7200023451",202001,"C",55.42
"398","D155","7200023451",202001,"T",128.04
"399","D155","7200023451",202002,"T",251.03
"400","D155","7200023451",202003,"C",119.97
"401","D155","7200023451",202003,"T",65.15
"402","D155","7200023452",202001,"C",194.24
"403","D155","7200023452",202002,"T",71.75
"404","D155","7200023452",202003,"C",57.81
"405","D155","7200023456",202001,"C",696.01
"406","D155","7200023456",202001,"T",205.67
"407","D155","7200023456",202002,"C",875.67
"408","D155","7200023456",202002,"T",103.25
"409","D155","7200023456",202003,"T",692.01
"410","D155","7200023459",202001,"C",130.49
"411","D155","7200023459",202001,"T",278.74
"412","D155","7200023459",202002,"C",70.08
"413","D155","7200023459",202002,"T",315.52
"414","D155","7200023459",202003,"C",189.29
"415","D155","7200023459",202003,"T",349.22
"416","D155","7200023460",202001,"C",100.06
"417","D155","7200023460",202001,"T",104.69
"418","D155","7200023460",202002,"T",331.81
"419","D155","7200023460",202003,"C",291.03
"420","D155","7200023461",202001,"C",497
"421","D155","7200023461",202002,"C",453.82
"422","D155","7200023461",202003,"C",354.58
"423","D155","7200023463",202001,"C",101.06
"424","D155","7200023463",202001,"T",115.31
"425","D155","7200023463",202002,"T",193.71
"426","D155","7200023463",202003,"C",247.99
"427","D155","7200023463",202003,"T",226.55
"428","D155","7200023465",202001,"C",94.63
"429","D155","7200023465",202002,"C",41.16
"430","D155","7200023465",202003,"C",56.23
"431","D155","7200023467",202001,"C",150.35
"432","D155","7200023467",202001,"T",92.13
"433","D155","7200023467",202002,"C",62.01
"434","D155","7200023467",202002,"T",245.92
"435","D155","7200023467",202003,"C",94.4
"436","D155","7200023467",202003,"T",303.51
"437","D155","7200023471",202001,"T",176.18
"438","D155","7200023471",202002,"T",306.56
"439","D155","7200023471",202003,"C",116.41
"440","D155","7200023471",202003,"T",161.49
"441","D155","7200023472",202003,"C",813.41
"442","D155","7200023474",202001,"T",116.89
"443","D155","7200023474",202002,"C",53.5
"444","D155","7200023474",202003,"C",49.38
"445","D155","7200023476",202001,"C",53.44
"446","D155","7200023476",202001,"T",108.62
"447","D155","7200023476",202002,"C",77.25
"448","D155","7200023476",202002,"T",177.48
"449","D155","7200023476",202003,"T",235.4
"450","D155","7200023479",202001,"C",189.84
"451","D155","7200023479",202001,"T",527.85
"452","D155","7200023479",202002,"T",113.25
"453","D155","7200023479",202003,"C",131.38
"454","D155","7200023479",202003,"T",245.06
"455","D155","7200023480",202001,"T",276.58
"456","D155","7200023480",202002,"C",46.19
"457","D155","7200023480",202002,"T",143.79
"458","D155","7200023480",202003,"C",153.05
"459","D155","7200023480",202003,"T",260.95
"460","D155","7200023481",202001,"T",40.09
"461","D155","7200023482",202001,"C",236.54
"462","D155","7200023482",202001,"T",135.89
"463","D155","7200023482",202002,"C",75.29
"464","D155","7200023482",202002,"T",275.32
"465","D155","7200023482",202003,"C",181.64
"466","D155","7200023482",202003,"T",110.72
"467","D155","7200023485",202001,"T",294.21
"468","D155","7200023485",202002,"T",491.6
"469","D155","7200023485",202003,"C",546.03
"470","D155","7200023485",202003,"T",279.98
"471","D155","7200023488",202001,"C",66.66
"472","D155","7200023488",202001,"T",328.15
"473","D155","7200023488",202002,"T",359.25
"474","D155","7200023489",202001,"C",940.9
"475","D155","7200023489",202001,"T",293.82
"476","D155","7200023489",202002,"C",621.46
"477","D155","7200023489",202002,"T",64.79
"478","D155","7200023489",202003,"C",964.8
"479","D155","7200023489",202003,"T",381.89
"480","D155","7200023492",202001,"C",92.7
"481","D155","7200023492",202001,"T",64.79
"482","D155","7200023492",202002,"C",46.47
"483","D155","7200023492",202002,"T",243.75
"484","D155","7200023492",202003,"C",45.3
"485","D155","7200023492",202003,"T",64.13
"486","D155","7200023501",202001,"C",234.92
"487","D155","7200023501",202001,"T",337.84
"488","D155","7200023501",202002,"C",91.71
"489","D155","7200023501",202002,"T",360.66
"490","D155","7200023501",202003,"T",443.4
"491","D155","7200023511",202001,"C",55.45
"492","D155","7200023511",202001,"T",392.85
"493","D155","7200023511",202002,"T",224.45
"494","D155","7200023511",202003,"C",73.15
"495","D155","7200023511",202003,"T",107.77
"496","D155","7200023515",202001,"T",1127.95
"497","D155","7200023515",202002,"C",486.37
"498","D155","7200023515",202002,"T",1607
"499","D155","7200023515",202003,"T",784.81
"500","D155","7200023517",202001,"C",556.51
"501","D155","7200023517",202001,"T",191.26
"502","D155","7200023517",202002,"C",180.82
"503","D155","7200023517",202002,"T",68.37
"504","D155","7200023518",202001,"T",68.64
"505","D155","7200023518",202002,"T",48.67
"506","D155","7200023518",202003,"T",70.08
"507","D155","7200023519",202001,"C",118.45
"508","D155","7200023519",202001,"T",139.26
"509","D155","7200023519",202002,"C",46.26
"510","D155","7200023519",202002,"T",51.69
"511","D155","7200023519",202003,"C",180.05
"512","D155","7200023519",202003,"T",175.3
"513","D155","7200023521",202001,"C",55.46
"514","D155","7200023521",202002,"T",59
"515","D155","7200023521",202003,"C",71.03
"516","D155","7200023521",202003,"T",40.92
"517","D155","7200023524",202001,"C",129.68
"518","D155","7200023524",202001,"T",258.76
"519","D155","7200023524",202002,"C",172.75
"520","D155","7200023524",202002,"T",161.72
"521","D155","7200023524",202003,"C",150.32
"522","D155","7200023524",202003,"T",252.38
"523","D155","7200023530",202001,"C",186.9
"524","D155","7200023530",202002,"C",40.7
"525","D155","7200023531",202001,"T",312.2
"526","D155","7200023531",202002,"T",121.2
"527","D155","7200023531",202003,"T",421.85
"528","D155","7200023533",202001,"C",213.07
"529","D155","7200023533",202001,"T",260.57
"530","D155","7200023533",202002,"C",183.08
"531","D155","7200023533",202002,"T",268.75
"532","D155","7200023533",202003,"C",185.32
"533","D155","7200023533",202003,"T",390.7
"534","D155","7200023537",202001,"C",589.4
"535","D155","7200023537",202002,"C",409.04
"536","D155","7200023537",202003,"C",590.9
"537","D155","7200023537",202003,"T",50.94
"538","D155","7200023541",202001,"C",96.99
"539","D155","7200023541",202001,"T",284.46
"540","D155","7200023541",202002,"T",197.04
"541","D155","7200023541",202003,"C",180.24
"542","D155","7200023541",202003,"T",390.09
"543","D155","7200023543",202001,"C",88.7
"544","D155","7200023543",202001,"T",40.58
"545","D155","7200023543",202002,"C",131.09
"546","D155","7200023543",202003,"C",58.66
"547","D155","7200023543",202003,"T",95.01
"548","D155","7200023548",202001,"T",269.37
"549","D155","7200023548",202002,"T",90
"550","D155","7200023548",202003,"T",363.17
"551","D155","7200023551",202001,"C",84.8
"552","D155","7200023551",202002,"C",52.49
"553","D155","7200023551",202003,"C",88.97
"554","D155","7200023551",202003,"T",101.75
"555","D155","7200023553",202001,"T",205.8
"556","D155","7200023553",202002,"T",97.4
"557","D155","7200023553",202003,"C",194.76
"558","D155","7200023553",202003,"T",78.68
"559","D155","7200023557",202001,"C",153.32
"560","D155","7200023557",202001,"T",262.71
"561","D155","7200023557",202002,"C",96.62
"562","D155","7200023557",202002,"T",455.23
"563","D155","7200023557",202003,"T",476.93
"564","D155","7200023559",202001,"C",40.68
"565","D155","7200023559",202001,"T",121.78
"566","D155","7200023559",202002,"C",47.53
"567","D155","7200023559",202002,"T",384.35
"568","D155","7200023559",202003,"C",212.95
"569","D155","7200023559",202003,"T",394.25
"570","D155","7200023564",202001,"T",554.86
"571","D155","7200023564",202002,"T",376.62
"572","D155","7200023564",202003,"C",537.31
"573","D155","7200023564",202003,"T",175.58
"574","D155","7200023565",202001,"C",153.71
"575","D155","7200023565",202001,"T",314.46
"576","D155","7200023565",202002,"T",116.16
"577","D155","7200023565",202003,"C",122.64
"578","D155","7200023565",202003,"T",133.9
"579","D155","7200023572",202001,"T",231.8
"580","D155","7200023572",202002,"T",288.4
"581","D155","7200023572",202003,"T",344.42
"582","D155","7200023574",202001,"C",70.08
"583","D155","7200023574",202003,"T",75.65
"584","D155","7200023576",202001,"T",285.46
"585","D155","7200023576",202002,"C",50.87
"586","D155","7200023576",202002,"T",247.51
"587","D155","7200023576",202003,"T",1359.97
"588","D155","7200023577",202001,"C",176.22
"589","D155","7200023577",202001,"T",134.45
"590","D155","7200023577",202002,"C",177.16
"591","D155","7200023577",202002,"T",212.81
"592","D155","7200023577",202003,"C",101.4
"593","D155","7200023577",202003,"T",206.27
"594","D155","7200023581",202001,"C",80.66
"595","D155","7200023581",202001,"T",117.27
"596","D155","7200023581",202002,"C",41.55
"597","D155","7200023581",202002,"T",249.6
"598","D155","7200023581",202003,"T",572.45
"599","D155","7200023582",202001,"C",47.14
"600","D155","7200023582",202001,"T",49.91
"601","D155","7200023582",202002,"T",140.58
"602","D155","7200023586",202001,"C",174.61
"603","D155","7200023586",202001,"T",211.34
"604","D155","7200023586",202002,"C",790.19
"605","D155","7200023586",202003,"C",640.41
"606","D155","7200023586",202003,"T",440.49
"607","D155","7200023587",202001,"C",129.99
"608","D155","7200023587",202001,"T",197.05
"609","D155","7200023587",202002,"T",284.61
"610","D155","7200023587",202003,"T",235.58
"611","D155","7200023589",202001,"C",55.18
"612","D155","7200023589",202001,"T",174.99
"613","D155","7200023589",202002,"C",172.56
"614","D155","7200023589",202002,"T",129.19
"615","D155","7200023589",202003,"C",41.55
"616","D155","7200023589",202003,"T",200.2
"617","D155","7200023591",202001,"C",70.05
"618","D155","7200023591",202001,"T",369.68
"619","D155","7200023591",202002,"T",367.45
"620","D155","7200023591",202003,"T",812.66
"621","D155","7200023593",202001,"C",3806.03
"622","D155","7200023593",202001,"T",5544.87
"623","D155","7200023593",202002,"C",1665.16
"624","D155","7200023593",202002,"T",6445.18
"625","D155","7200023593",202003,"C",5507.01
"626","D155","7200023593",202003,"T",7777.52
"627","D155","7200023594",202001,"C",1667.06
"628","D155","7200023594",202001,"T",821.97
"629","D155","7200023594",202002,"C",544.76
"630","D155","7200023594",202002,"T",1803.26
"631","D155","7200023594",202003,"C",1518.27
"632","D155","7200023594",202003,"T",3347.65
"633","D155","7200023596",202002,"C",1771.68
"634","D155","7200023596",202002,"T",740.16
"635","D155","7200023596",202003,"C",526.6
"636","D155","7200023596",202003,"T",736.8
"637","D155","7200023597",202001,"C",89.03
"638","D155","7200023597",202003,"T",307.7
"639","D155","7200023598",202001,"C",133.89
"640","D155","7200023598",202001,"T",274.79
"641","D155","7200023598",202002,"C",143.15
"642","D155","7200023598",202002,"T",363.93
"643","D155","7200023598",202003,"C",232.36
"644","D155","7200023598",202003,"T",390.77
"645","D155","7200023601",202001,"T",156.26
"646","D155","7200023601",202002,"C",96.91
"647","D155","7200023601",202003,"C",76.75
"648","D155","7200023601",202003,"T",153.58
"649","D155","7200023603",202001,"C",49.85
"650","D155","7200023603",202001,"T",394.11
"651","D155","7200023603",202002,"C",160.99
"652","D155","7200023603",202002,"T",385.88
"653","D155","7200023603",202003,"C",54.71
"654","D155","7200023603",202003,"T",806.76
"655","D155","7200023604",202001,"C",84.63
"656","D155","7200023604",202002,"C",98.51
"657","D155","7200023604",202003,"T",63
"658","D155","7200023606",202001,"C",220.64
"659","D155","7200023606",202001,"T",195.94
"660","D155","7200023606",202002,"T",360.55
